NumMajorMergersLast250Myr,NumMajorMergersLast500Myr,NumMajorMergersLastGyr,NumMajorMergersSinceRedshiftOne,NumMajorMergersSinceRedshiftTwo,NumMajorMergersTotal,NumMergersLast250Myr,NumMergersLast500Myr,NumMergersLastGyr,NumMergersSinceRedshiftOne,NumMergersSinceRedshiftTwo,NumMergersTotal,NumMinorMergersLast250Myr,NumMinorMergersLast500Myr,NumMinorMergersLastGyr,NumMinorMergersSinceRedshiftOne,NumMinorMergersSinceRedshiftTwo,NumMinorMergersTotal,SnapNumLastMajorMerger,SnapNumLastMerger,SnapNumLastMinorMerger,SnapNumNextMajorMerger,SnapNumNextMerger,SnapNumNextMinorMerger,Illustris_ID,P_Late,Sigma_Late,P_S0,Sigma_S0,P_Sab,Sigma_Sab
0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,11.0,22.0,43.0,0.0,0.0,0.0,1.0,1.0,2.0,59.0,80.0,57.0,-1.0,-1.0,-1.0,15,0.005113095045089722,0.01558826956897974,0.03564190864562988,0.057651713490486145,0.09468740224838257,0.04608159512281418
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,23.0,44.0,127.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,82.0,12.0,-1.0,-1.0,-1.0,16,0.009445905685424805,0.03698526695370674,0.01745489239692688,0.041365548968315125,0.10000169277191162,0.05109892040491104
0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,3.0,32.0,58.0,104.0,0.0,0.0,0.0,0.0,1.0,1.0,95.0,96.0,37.0,-1.0,-1.0,-1.0,17,0.1327047049999237,0.05140427500009537,0.07252448797225952,0.05770773068070412,0.13040339946746826,0.03698933497071266
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,75.0,5.0,-1.0,-1.0,-1.0,18,0.2409893274307251,0.059516195207834244,0.2089666724205017,0.13271623849868774,0.16485467553138733,0.061236992478370667
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,42.0,96.0,0.0,0.0,0.0,0.0,1.0,3.0,27.0,49.0,43.0,-1.0,-1.0,-1.0,19,0.014141082763671875,0.011904161423444748,0.25387707352638245,0.08504010736942291,0.11190220713615417,0.0537748821079731
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,22.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,92.0,57.0,-1.0,-1.0,-1.0,20,0.166203111410141,0.04942290857434273,0.038229405879974365,0.13514134287834167,0.26919251680374146,0.04630649834871292
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,28.0,91.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,59.0,18.0,-1.0,-1.0,-1.0,21,0.004807502031326294,0.02730311080813408,0.013358473777770996,0.015445677563548088,0.18040260672569275,0.0634850412607193
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,22.0,43.0,0.0,0.0,0.0,1.0,1.0,3.0,20.0,91.0,90.0,-1.0,-1.0,-1.0,22,0.16872653365135193,0.05398397520184517,0.5847918391227722,0.06143123656511307,0.1712946593761444,0.05696495249867439
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,34.0,67.0,131.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,84.0,25.0,-1.0,-1.0,-1.0,23,0.0798669159412384,0.06518442183732986,0.4316006302833557,0.05563642829656601,0.08702832460403442,0.05966808646917343
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,66.0,16.0,-1.0,-1.0,-1.0,24,0.9137714505195618,0.0038298098370432854,0.9903634786605835,0.024871941655874252,0.7456433176994324,0.07564219832420349
0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,20.0,54.0,0.0,0.0,0.0,1.0,1.0,5.0,37.0,78.0,78.0,-1.0,-1.0,-1.0,25,0.030555307865142822,0.023967228829860687,0.23223519325256348,0.03385084494948387,0.05402708053588867,0.05861503630876541
0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,12.0,19.0,29.0,0.0,0.0,0.0,1.0,1.0,6.0,80.0,95.0,59.0,-1.0,-1.0,-1.0,26,0.05119544267654419,0.04762519150972366,0.09500512480735779,0.090407595038414,0.08705714344978333,0.0454290434718132
0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,11.0,19.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,78.0,28.0,-1.0,-1.0,-1.0,27,0.37097281217575073,0.032684292644262314,0.16356170177459717,0.06812109053134918,0.1205379068851471,0.06500383466482162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,82.0,8.0,-1.0,-1.0,-1.0,28,0.025883764028549194,0.014116044156253338,0.5338873267173767,0.050723202526569366,0.05881094932556152,0.038765836507081985
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,10.0,24.0,0.0,0.0,0.0,1.0,2.0,2.0,27.0,84.0,84.0,-1.0,-1.0,-1.0,29,0.35900866985321045,0.06101013720035553,0.5154092311859131,0.06132820248603821,0.14490845799446106,0.06386181712150574
